date,row,commit,comparedTo,packages added,packages removed,dependency added,dependency removed,class moved,number of packages added,number of packages removed,number of dependencies added,number of dependencies removed,number of moved classes,number of packages,number of dependencies,MTO,A0,A2A,A2A Copy,gap,issueId,prNumber
2006-01-13,1,f562722a84fb25ad233eb87f1e28e17ee0a8bd69,,"[org.apache.mina.util,org.apache.mina.filter.support,org.apache.mina.handler.chain,org.apache.mina.transport.socket.nio.support,org.apache.mina.transport.vmpipe,org.apache.mina.filter,org.apache.mina.common,org.apache.mina.integration.spring,org.apache.mina.filter.codec.support,org.apache.mina.handler.support,org.apache.mina.transport.vmpipe.support,org.apache.mina.filter.codec.textline,org.apache.mina.filter.codec.demux,org.apache.mina.handler,org.apache.mina.common.support,org.apache.mina.integration.spring.support,org.apache.mina.handler.demux,org.apache.mina.registry,org.apache.asn1.codec.mina,org.apache.mina.filter.codec,org.apache.mina.integration.spring.ssl,org.apache.mina.transport.socket.nio,org.apache.mina.filter.codec.serialization]","[]","[]","[]","[]",23,0,0,0,0,23,44,=J2+K2+L2+M2+N2,=O2+P2,=((Q2/(R2+R1)))*100,,0,,"[]"
2006-01-13,2,11dc3bfbc0b731656f32b2eeec00659a1bbf9e4a,f562722a84fb25ad233eb87f1e28e17ee0a8bd69,"[]","[]","[]","[]","[]",0,0,0,0,0,23,44,=J3+K3+L3+M3+N3,=O3+P3,=((Q3/(R3+R2)))*100,,0,,"[]"
2006-01-13,3,60c30dcab158b8166295ed6b6c28b948039add39,11dc3bfbc0b731656f32b2eeec00659a1bbf9e4a,"[]","[]","[]","[]","[]",0,0,0,0,0,23,44,=J4+K4+L4+M4+N4,=O4+P4,=((Q4/(R4+R3)))*100,,0,,"[]"
2006-01-13,4,853c331a55ad97bf88ed20b252e3e25122807330,60c30dcab158b8166295ed6b6c28b948039add39,"[]","[]","[]","[]","[]",0,0,0,0,0,23,44,=J5+K5+L5+M5+N5,=O5+P5,=((Q5/(R5+R4)))*100,,0,,"[]"
2006-01-15,5,6e28cb05f57c803480177f6898973fca591d16f8,853c331a55ad97bf88ed20b252e3e25122807330,"[]","[]","[]","[]","[]",0,0,0,0,0,23,44,=J6+K6+L6+M6+N6,=O6+P6,=((Q6/(R6+R5)))*100,,0,,"[]"
2006-01-15,6,40e72b428eba8664a13fe87993d3a4324ecedfd4,6e28cb05f57c803480177f6898973fca591d16f8,"[]","[]","[]","[]","[]",0,0,0,0,0,23,44,=J7+K7+L7+M7+N7,=O7+P7,=((Q7/(R7+R6)))*100,,0,MINA-159,"[]"
2006-01-15,7,e5387cf62394aa7a044da11b620696fc2bd775c0,40e72b428eba8664a13fe87993d3a4324ecedfd4,"[]","[]","[]","[]","[]",0,0,0,0,0,23,44,=J8+K8+L8+M8+N8,=O8+P8,=((Q8/(R8+R7)))*100,,0,MINA-163,"[]"
2006-01-15,8,5351ccfb462570c6cc9d9ab50ae7fab40369fcbf,e5387cf62394aa7a044da11b620696fc2bd775c0,"[]","[]","[]","[]","[]",0,0,0,0,0,23,44,=J9+K9+L9+M9+N9,=O9+P9,=((Q9/(R9+R8)))*100,,0,,"[]"
2006-01-17,9,794d4dc31d660823f551835cfceab365defcac6d,5351ccfb462570c6cc9d9ab50ae7fab40369fcbf,"[]","[]","[]","[]","[]",0,0,0,0,0,23,44,=J10+K10+L10+M10+N10,=O10+P10,=((Q10/(R10+R9)))*100,,0,,"[]"
2006-01-17,10,f94d4e9c30ea2b73e67b2c3c11d7f35462304217,794d4dc31d660823f551835cfceab365defcac6d,"[]","[]","[]","[]","[]",0,0,0,0,0,23,44,=J11+K11+L11+M11+N11,=O11+P11,=((Q11/(R11+R10)))*100,,0,,"[]"
2006-01-17,11,7117290e4d31ac6ba343af71ec19a3f0116ff87e,f94d4e9c30ea2b73e67b2c3c11d7f35462304217,"[]","[]","[]","[]","[]",0,0,0,0,0,23,44,=J12+K12+L12+M12+N12,=O12+P12,=((Q12/(R12+R11)))*100,,0,,"[]"
2006-01-18,12,a0644eedf991e27bebce31739a7dad121d95eef8,7117290e4d31ac6ba343af71ec19a3f0116ff87e,"[]","[]","[]","[]","[]",0,0,0,0,0,23,44,=J13+K13+L13+M13+N13,=O13+P13,=((Q13/(R13+R12)))*100,,0,,"[]"
2006-01-19,13,795bf59a821b3cc227f8d7aa66bf187642dbe5e0,a0644eedf991e27bebce31739a7dad121d95eef8,"[]","[]","[]","[]","[]",0,0,0,0,0,23,44,=J14+K14+L14+M14+N14,=O14+P14,=((Q14/(R14+R13)))*100,,0,,"[]"
2006-01-19,14,36a0fb8865fcbcffbff2f16e6ae1f34cb9eb350b,795bf59a821b3cc227f8d7aa66bf187642dbe5e0,"[]","[]","[]","[]","[]",0,0,0,0,0,23,44,=J15+K15+L15+M15+N15,=O15+P15,=((Q15/(R15+R14)))*100,,0,,"[]"
2006-01-19,15,6ca54a996ff9c37292b31a888bf3f8cab6733e79,36a0fb8865fcbcffbff2f16e6ae1f34cb9eb350b,"[]","[]","[]","[]","[]",0,0,0,0,0,23,44,=J16+K16+L16+M16+N16,=O16+P16,=((Q16/(R16+R15)))*100,,0,,"[]"
2006-01-19,16,d5a92d15ae960931335542d5945e404b03543760,6ca54a996ff9c37292b31a888bf3f8cab6733e79,"[]","[]","[]","[]","[]",0,0,0,0,0,23,44,=J17+K17+L17+M17+N17,=O17+P17,=((Q17/(R17+R16)))*100,,0,,"[]"
2006-01-19,17,88cad3cb5848e7c90a4540ff3eb963ab9bca0c8e,d5a92d15ae960931335542d5945e404b03543760,"[]","[]","[]","[]","[]",0,0,0,0,0,23,44,=J18+K18+L18+M18+N18,=O18+P18,=((Q18/(R18+R17)))*100,,0,,"[]"
2006-01-19,18,97f2243843d3088be06eb767bd514a965fe972f9,88cad3cb5848e7c90a4540ff3eb963ab9bca0c8e,"[]","[]","[]","[]","[]",0,0,0,0,0,23,44,=J19+K19+L19+M19+N19,=O19+P19,=((Q19/(R19+R18)))*100,,0,,"[]"
2006-01-19,19,ad4ab62b259298073f1d3ababa294359c43ea711,97f2243843d3088be06eb767bd514a965fe972f9,"[]","[]","[]","[]","[]",0,0,0,0,0,23,44,=J20+K20+L20+M20+N20,=O20+P20,=((Q20/(R20+R19)))*100,,0,,"[]"
2006-01-19,20,c99f7401676ebdc87929f4421161d26b5fe8e628,ad4ab62b259298073f1d3ababa294359c43ea711,"[]","[]","[]","[]","[]",0,0,0,0,0,23,44,=J21+K21+L21+M21+N21,=O21+P21,=((Q21/(R21+R20)))*100,,0,MINA-164,"[]"
2006-01-19,21,0479c1950cceff40cb87a9c51217909caf203820,c99f7401676ebdc87929f4421161d26b5fe8e628,"[]","[]","[]","[]","[]",0,0,0,0,0,23,44,=J22+K22+L22+M22+N22,=O22+P22,=((Q22/(R22+R21)))*100,,0,MINA-159,"[]"
2006-01-19,22,af1a26208876f516f9e6f2982c67927fecc095c7,0479c1950cceff40cb87a9c51217909caf203820,"[]","[]","[]","[]","[]",0,0,0,0,0,23,44,=J23+K23+L23+M23+N23,=O23+P23,=((Q23/(R23+R22)))*100,,0,,"[]"
2006-01-19,23,9a430f1be21d9f156386640b9622db0a3a6ff844,af1a26208876f516f9e6f2982c67927fecc095c7,"[]","[]","[]","[]","[]",0,0,0,0,0,23,44,=J24+K24+L24+M24+N24,=O24+P24,=((Q24/(R24+R23)))*100,,0,MINA-159,"[]"
2006-01-20,24,4415d3276684ef7646a160a70911582a4165c385,9a430f1be21d9f156386640b9622db0a3a6ff844,"[]","[]","[]","[]","[]",0,0,0,0,0,23,44,=J25+K25+L25+M25+N25,=O25+P25,=((Q25/(R25+R24)))*100,,0,,"[]"
2006-01-20,25,74855162131030ea439ae5c13b90daf96a1231a0,4415d3276684ef7646a160a70911582a4165c385,"[]","[]","[]","[]","[]",0,0,0,0,0,23,44,=J26+K26+L26+M26+N26,=O26+P26,=((Q26/(R26+R25)))*100,,0,,"[]"
2006-01-22,26,166303a59aa2dbfd593f9748876628630a1c074a,74855162131030ea439ae5c13b90daf96a1231a0,"[]","[]","[]","[]","[]",0,0,0,0,0,23,44,=J27+K27+L27+M27+N27,=O27+P27,=((Q27/(R27+R26)))*100,,0,,"[]"
