date,row,commit,comparedTo,packages added,packages removed,dependency added,dependency removed,class moved,number of packages added,number of packages removed,number of dependencies added,number of dependencies removed,number of moved classes,number of packages,number of dependencies,MTO,A0,A2A,A2A Copy,gap,issueId,prNumber
2008-06-22,1,7f243f87cb4f470b9f4773321c52f2eb70bcdd0b,,"[org.jempbox.impl,test.jempbox.xmp,org.jempbox.xmp.pdfa,org.jempbox.xmp]","[]","[]","[]","[]",4,0,0,0,0,4,2,=J2+K2+L2+M2+N2,=O2+P2,=((Q2/(R2+R1)))*100,,0,PDFBOX-4,"[]"
2008-06-22,2,b55cf329d49f343920cbfdb1012aac2c45b69610,7f243f87cb4f470b9f4773321c52f2eb70bcdd0b,"[]","[]","[]","[]","[]",0,0,0,0,0,4,2,=J3+K3+L3+M3+N3,=O3+P3,=((Q3/(R3+R2)))*100,,0,PDFBOX-4,"[]"
2008-06-23,3,d72d3e0c95738dd5327b28286c165bb6cf7e2207,b55cf329d49f343920cbfdb1012aac2c45b69610,"[]","[]","[]","[]","[]",0,0,0,0,0,4,2,=J4+K4+L4+M4+N4,=O4+P4,=((Q4/(R4+R3)))*100,,0,PDFBOX-4,"[]"
2008-06-23,4,9ebd721540657ba274088cd7f9ca9fa0577d89af,d72d3e0c95738dd5327b28286c165bb6cf7e2207,"[]","[]","[]","[]","[]",0,0,0,0,0,4,2,=J5+K5+L5+M5+N5,=O5+P5,=((Q5/(R5+R4)))*100,,0,,"[]"
2008-06-23,5,4b842547547a5f93ff0a3175aa9738b9285c2586,9ebd721540657ba274088cd7f9ca9fa0577d89af,"[]","[]","[]","[]","[]",0,0,0,0,0,4,2,=J6+K6+L6+M6+N6,=O6+P6,=((Q6/(R6+R5)))*100,,0,PDFBOX-1,"[]"
2008-07-22,6,5a8f776feba3be7cf07ee0b369121403f3bbb348,4b842547547a5f93ff0a3175aa9738b9285c2586,"[org.fontbox.pfb,org.fontbox.ttf,org.fontbox.util,org.fontbox.cmap,org.fontbox.encoding,org.fontbox.afm]","[]","[]","[]","[]",6,0,0,0,0,10,4,=J7+K7+L7+M7+N7,=O7+P7,=((Q7/(R7+R6)))*100,,0,PDFBOX-3,"[]"
2008-07-22,7,8a901b4360c807f338363f8f0508c9371f539fc4,5a8f776feba3be7cf07ee0b369121403f3bbb348,"[]","[]","[]","[]","[]",0,0,0,0,0,10,4,=J8+K8+L8+M8+N8,=O8+P8,=((Q8/(R8+R7)))*100,,0,PDFBOX-3,"[]"
2008-07-22,8,7388792d8bf135b9533fd98c91fe7877c1220b3d,8a901b4360c807f338363f8f0508c9371f539fc4,"[]","[]","[]","[]","[]",0,0,0,0,0,10,4,=J9+K9+L9+M9+N9,=O9+P9,=((Q9/(R9+R8)))*100,,0,PDFBOX-3,"[]"
2008-08-04,9,0043363995339865503811c70dd991b57c06b3cf,7388792d8bf135b9533fd98c91fe7877c1220b3d,"[org.pdfbox.encoding,org.pdfbox.pdmodel.common,test.pdfbox.cos,org.pdfbox.encryption,org.pdfbox,org.pdfbox.pdmodel.graphics,org.pdfbox.pdfwriter,org.pdfbox.util,org.pdfbox.io,org.pdfbox.pdmodel.interactive.action.type,org.pdfbox.examples.persistence,org.pdfbox.pdmodel.font,org.pdfbox.examples.signature,org.pdfbox.searchengine.lucene,org.pdfbox.pdmodel.fdf,org.pdfbox.util.operator.pagedrawer,org.pdfbox.examples.util,test.pdfbox,org.pdfbox.examples.fdf,org.pdfbox.examples,org.pdfbox.examples.pdmodel,org.pdfbox.pdmodel.interactive.digitalsignature,org.pdfbox.pdmodel.interactive.pagenavigation,org.pdfbox.pdmodel.interactive.documentnavigation.destination,org.pdfbox.pdmodel.interactive.viewerpreferences,org.pdfbox.pdmodel.text,org.pdfbox.ant,org.pdfbox.cos,org.pdfbox.pdmodel.documentinterchange.logicalstructure,org.pdfbox.pdmodel.documentinterchange.prepress,org.pdfbox.pdmodel.common.filespecification,org.pdfbox.pdmodel.edit,org.pdfbox.pdmodel.encryption,org.pdfbox.pdmodel.common.function,org.pdfbox.pdmodel.interactive.action,org.pdfbox.pdmodel.graphics.predictor,test.pdfbox.pdmodel,test.pdfbox.util,org.pdfbox.exceptions,org.pdfbox.pdfparser,test.pdfbox.pdmodel.interactive.form,org.pdfbox.pdmodel.interactive.annotation,org.pdfbox.pdmodel.graphics.xobject,org.pdfbox.pdfviewer,org.pdfbox.filter,test.pdfbox.pdfparser,org.pdfbox.pdmodel,org.pdfbox.pdmodel.graphics.color,test.pdfbox.encryption,org.pdfbox.util.operator,test.pdfbox.filter,org.pdfbox.pdmodel.interactive.documentnavigation.outline,org.pdfbox.pdmodel.interactive.form,org.pdfbox.persistence.util]","[org.fontbox.pfb,org.jempbox.impl,org.jempbox.xmp.pdfa,org.fontbox.ttf,org.fontbox.util,org.fontbox.cmap,test.jempbox.xmp,org.fontbox.encoding,org.fontbox.afm,org.jempbox.xmp]","[]","[]","[org.pdfbox.encoding.Encoding,org.pdfbox.encoding.MacRomanEncoding,org.pdfbox.util.XMLUtil,org.pdfbox.util.DateConverter,org.pdfbox.util.ResourceLoader]",54,10,0,0,5,54,238,=J10+K10+L10+M10+N10,=O10+P10,=((Q10/(R10+R9)))*100,,1,PDFBOX-2,"[]"
2008-08-04,10,dc8ef25fa1a6f9de1c73e3c3479037332a5d6950,0043363995339865503811c70dd991b57c06b3cf,"[]","[]","[]","[]","[]",0,0,0,0,0,54,238,=J11+K11+L11+M11+N11,=O11+P11,=((Q11/(R11+R10)))*100,,0,PDFBOX-2,"[]"
2008-08-04,11,d18984f70b1197cbf53e2e3f6472018b26ced7b5,dc8ef25fa1a6f9de1c73e3c3479037332a5d6950,"[]","[]","[]","[]","[]",0,0,0,0,0,54,238,=J12+K12+L12+M12+N12,=O12+P12,=((Q12/(R12+R11)))*100,,0,PDFBOX-2,"[]"
2008-08-05,12,d8915013d5466c6b6a5e2584bcc64e8ce469be7d,d18984f70b1197cbf53e2e3f6472018b26ced7b5,"[]","[]","[{name:org.pdfbox.cos,added:[org.pdfbox.exceptions]},{name:org.pdfbox.pdmodel.graphics.color,added:[org.pdfbox.exceptions]},{name:org.pdfbox.util.operator,added:[org.pdfbox.exceptions]}]","[{name:org.pdfbox.util.operator.pagedrawer,removed:[org.pdfbox.pdmodel.graphics.color]}]","[]",0,0,3,1,0,54,240,=J13+K13+L13+M13+N13,=O13+P13,=((Q13/(R13+R12)))*100,,0,PDFBOX-2,"[]"
2008-08-05,13,623a0af37723377676f57213cf74b1a909c23272,d8915013d5466c6b6a5e2584bcc64e8ce469be7d,"[]","[]","[]","[]","[]",0,0,0,0,0,54,240,=J14+K14+L14+M14+N14,=O14+P14,=((Q14/(R14+R13)))*100,,0,,"[]"
2008-08-05,14,5392a1d4ea19beb4aecd0d8d385102d1b408cd44,623a0af37723377676f57213cf74b1a909c23272,"[]","[]","[]","[]","[]",0,0,0,0,0,54,240,=J15+K15+L15+M15+N15,=O15+P15,=((Q15/(R15+R14)))*100,,0,,"[]"
2008-08-05,15,831055345926ef7eb987ed169de1a36eceb09755,5392a1d4ea19beb4aecd0d8d385102d1b408cd44,"[]","[]","[]","[]","[]",0,0,0,0,0,54,240,=J16+K16+L16+M16+N16,=O16+P16,=((Q16/(R16+R15)))*100,,0,,"[]"
2008-08-08,16,424db0fd00371634a8998f13e5052f67b182589d,831055345926ef7eb987ed169de1a36eceb09755,"[]","[]","[]","[]","[]",0,0,0,0,0,54,240,=J17+K17+L17+M17+N17,=O17+P17,=((Q17/(R17+R16)))*100,,0,PDFBOX-364,"[]"
2008-08-08,17,3e2575a476913657f6dbcf2c92cc238b8821d939,424db0fd00371634a8998f13e5052f67b182589d,"[]","[]","[]","[]","[]",0,0,0,0,0,54,240,=J18+K18+L18+M18+N18,=O18+P18,=((Q18/(R18+R17)))*100,,0,,"[]"
2008-08-11,18,d78d414a7697a1331855654205bef4256158cee5,3e2575a476913657f6dbcf2c92cc238b8821d939,"[]","[]","[]","[]","[]",0,0,0,0,0,54,240,=J19+K19+L19+M19+N19,=O19+P19,=((Q19/(R19+R18)))*100,,0,,"[]"
2008-08-14,19,a9b63c5f6995705587a3feb99f0df75045e06f06,d78d414a7697a1331855654205bef4256158cee5,"[]","[]","[]","[]","[]",0,0,0,0,0,54,240,=J20+K20+L20+M20+N20,=O20+P20,=((Q20/(R20+R19)))*100,,0,,"[]"
2008-08-15,20,a5e0601ddd9c854141574a9bceefcab72d399f0f,a9b63c5f6995705587a3feb99f0df75045e06f06,"[]","[]","[]","[]","[]",0,0,0,0,0,54,240,=J21+K21+L21+M21+N21,=O21+P21,=((Q21/(R21+R20)))*100,,0,,"[]"
2008-08-15,21,09412fe52e6c89d4fb7a2abdd2db2a81b519da21,a5e0601ddd9c854141574a9bceefcab72d399f0f,"[]","[]","[]","[]","[]",0,0,0,0,0,54,240,=J22+K22+L22+M22+N22,=O22+P22,=((Q22/(R22+R21)))*100,,0,,"[]"
2008-08-15,22,3b02a58aae626ea82f27f16064c49a4304d1a599,09412fe52e6c89d4fb7a2abdd2db2a81b519da21,"[]","[]","[]","[]","[]",0,0,0,0,0,54,240,=J23+K23+L23+M23+N23,=O23+P23,=((Q23/(R23+R22)))*100,,0,,"[]"
2008-08-15,23,a589a39fe6560d2941679dce27dd573ab9675b67,3b02a58aae626ea82f27f16064c49a4304d1a599,"[]","[]","[]","[]","[]",0,0,0,0,0,54,240,=J24+K24+L24+M24+N24,=O24+P24,=((Q24/(R24+R23)))*100,,0,,"[]"
2008-08-15,24,43862ff14697c8490e23bdee92138c417e273f6f,a589a39fe6560d2941679dce27dd573ab9675b67,"[]","[]","[]","[]","[]",0,0,0,0,0,54,240,=J25+K25+L25+M25+N25,=O25+P25,=((Q25/(R25+R24)))*100,,0,PDFBOX-367,"[]"
2008-08-16,25,b695abd47f0f77e551f87d119eaf373370ca5768,43862ff14697c8490e23bdee92138c417e273f6f,"[]","[]","[]","[]","[]",0,0,0,0,0,54,240,=J26+K26+L26+M26+N26,=O26+P26,=((Q26/(R26+R25)))*100,,0,PDFBOX-367,"[]"
2008-08-16,26,03920879efde4719c81865b54b0599850a190862,b695abd47f0f77e551f87d119eaf373370ca5768,"[]","[]","[]","[]","[]",0,0,0,0,0,54,240,=J27+K27+L27+M27+N27,=O27+P27,=((Q27/(R27+R26)))*100,,0,,"[]"
2008-08-17,27,43b3283c2c8f90626a21bc692b4d31dbe141ff6d,03920879efde4719c81865b54b0599850a190862,"[]","[test.pdfbox.cos,test.pdfbox,test.pdfbox.pdmodel,test.pdfbox.util,test.pdfbox.pdmodel.interactive.form,test.pdfbox.pdfparser,test.pdfbox.encryption,test.pdfbox.filter]","[]","[]","[]",0,8,0,0,0,46,222,=J28+K28+L28+M28+N28,=O28+P28,=((Q28/(R28+R27)))*100,,0,PDFBOX-368,"[]"
