date,row,commit,comparedTo,packages added,packages removed,dependency added,dependency removed,class moved,number of packages added,number of packages removed,number of dependencies added,number of dependencies removed,number of moved classes,number of packages,number of dependencies,MTO,A0,A2A,A2A Copy,gap,issueId,prNumber
2011-07-22,1,bf65299ba1769435915039b04b83bf93201a6597,,"[org.apache.hadoop.sqoop.util,org.apache.hadoop.sqoop.orm,org.apache.hadoop.sqoop.lib,org.apache.hadoop.sqoop.manager,org.apache.hadoop.sqoop,org.apache.hadoop.sqoop.mapred]","[]","[]","[]","[]",6,0,0,0,0,6,7,=J2+K2+L2+M2+N2,=O2+P2,=((Q2/(R2+R1)))*100,,0,,"[]"
2011-07-22,2,8b7bde6f3525cb19dd73a015ba10bb17137d05e5,bf65299ba1769435915039b04b83bf93201a6597,"[org.apache.hadoop.sqoop.hive]","[]","[{name:org.apache.hadoop.sqoop,added:[org.apache.hadoop.sqoop.hive]}]","[]","[]",1,0,1,0,0,7,9,=J3+K3+L3+M3+N3,=O3+P3,=((Q3/(R3+R2)))*100,,5,,"[]"
2011-07-22,3,120e06f0a072e6145c908c56a25b8dca107b2b6f,8b7bde6f3525cb19dd73a015ba10bb17137d05e5,"[]","[]","[{name:org.apache.hadoop.sqoop.mapred,added:[org.apache.hadoop.sqoop.orm]}]","[]","[]",0,0,1,0,0,7,10,=J4+K4+L4+M4+N4,=O4+P4,=((Q4/(R4+R3)))*100,,3,,"[]"
2011-07-22,4,ecbb765019cea8da0887e290d69bb081f2282935,120e06f0a072e6145c908c56a25b8dca107b2b6f,"[]","[]","[{name:org.apache.hadoop.sqoop.mapred,added:[org.apache.hadoop.sqoop.util]}]","[]","[]",0,0,1,0,0,7,11,=J5+K5+L5+M5+N5,=O5+P5,=((Q5/(R5+R4)))*100,,2,,"[]"
2011-07-22,5,9e8955ede16e448d1c7199315345bc6f66b1e0f9,ecbb765019cea8da0887e290d69bb081f2282935,"[]","[]","[]","[]","[]",0,0,0,0,0,7,11,=J6+K6+L6+M6+N6,=O6+P6,=((Q6/(R6+R5)))*100,,4,,"[]"
2011-07-22,6,37cadedc8fd99b6e592f69b743810c2bebb3a8ab,9e8955ede16e448d1c7199315345bc6f66b1e0f9,"[org.apache.hadoop.sqoop.mapreduce]","[]","[{name:org.apache.hadoop.sqoop.manager,added:[org.apache.hadoop.sqoop.mapreduce]}]","[]","[org.apache.hadoop.sqoop.mapreduce.RawKeyTextOutputFormat,org.apache.hadoop.sqoop.mapreduce.RawKeyTextOutputFormat$RawKeyRecordWriter,org.apache.hadoop.sqoop.mapreduce.TextImportMapper]",1,0,1,0,3,8,16,=J7+K7+L7+M7+N7,=O7+P7,=((Q7/(R7+R6)))*100,,3,,"[]"
2011-07-22,7,940db9f6cec31f6801e9da9edd739ebc0c52c5c3,37cadedc8fd99b6e592f69b743810c2bebb3a8ab,"[]","[]","[]","[]","[]",0,0,0,0,0,8,16,=J8+K8+L8+M8+N8,=O8+P8,=((Q8/(R8+R7)))*100,,3,,"[]"
2011-07-22,8,93dab4998eb947504d303e2cf06ce4ba526060eb,940db9f6cec31f6801e9da9edd739ebc0c52c5c3,"[org.apache.hadoop.sqoop.io]","[]","[{name:org.apache.hadoop.sqoop.util,added:[org.apache.hadoop.sqoop.io]},{name:org.apache.hadoop.sqoop.manager,added:[org.apache.hadoop.sqoop.io]}]","[]","[]",1,0,2,0,0,9,18,=J9+K9+L9+M9+N9,=O9+P9,=((Q9/(R9+R8)))*100,,3,,"[]"
2011-07-22,9,84adbeea26000ce23426b4c1582654450c980fc2,93dab4998eb947504d303e2cf06ce4ba526060eb,"[]","[]","[]","[]","[]",0,0,0,0,0,9,18,=J10+K10+L10+M10+N10,=O10+P10,=((Q10/(R10+R9)))*100,,2,,"[]"
2011-07-22,10,8e813b95a4ae14cb0811bcf0b7d54ee49895b1a2,84adbeea26000ce23426b4c1582654450c980fc2,"[]","[]","[]","[]","[]",0,0,0,0,0,9,18,=J11+K11+L11+M11+N11,=O11+P11,=((Q11/(R11+R10)))*100,,3,,"[]"
2011-07-22,11,8b483c6dedc222a6ff0e8a706bbc9bfbabbbb333,8e813b95a4ae14cb0811bcf0b7d54ee49895b1a2,"[]","[]","[]","[]","[]",0,0,0,0,0,9,18,=J12+K12+L12+M12+N12,=O12+P12,=((Q12/(R12+R11)))*100,,2,,"[]"
2011-07-22,12,05929a73e5740e57f836ad6fd933b39470770db1,8b483c6dedc222a6ff0e8a706bbc9bfbabbbb333,"[]","[]","[]","[]","[]",0,0,0,0,0,9,18,=J13+K13+L13+M13+N13,=O13+P13,=((Q13/(R13+R12)))*100,,2,,"[]"
2011-07-22,13,69f04fff8b9489330b300a987c834ba08acbc9b4,05929a73e5740e57f836ad6fd933b39470770db1,"[]","[]","[]","[]","[]",0,0,0,0,0,9,18,=J14+K14+L14+M14+N14,=O14+P14,=((Q14/(R14+R13)))*100,,4,,"[]"
2011-07-22,14,a625fd478cf888abce404ef4e5c55a85cdeb9eab,69f04fff8b9489330b300a987c834ba08acbc9b4,"[]","[]","[]","[]","[]",0,0,0,0,0,9,18,=J15+K15+L15+M15+N15,=O15+P15,=((Q15/(R15+R14)))*100,,1,,"[]"
