date,row,commit,comparedTo,packages added,packages removed,dependency added,dependency removed,class moved,number of packages added,number of packages removed,number of dependencies added,number of dependencies removed,number of moved classes,number of packages,number of dependencies,MTO,A0,A2A,A2A Copy,gap,issueId,prNumber
2011-12-09,1,4776834185a653f5d1f5454de76017de9b2e9b32,,"[nta.conf,nta.datum,nta.catalog.exception,nta.engine.query,nta.engine.exception,nta.datum.comparator,nta.storage,nta.util,nta.catalog,nta.engine.parser,nta.engine.plan,nta.engine.utils,nta.engine,nta.engine.executor,nta.engine.plan.logical,nta.rpc,nta.engine.executor.eval,nta,nta.engine.function,nta.engine.exec,nta.common.exception,nta.common.type,nta.datum.exception]","[]","[]","[]","[]",23,0,0,0,0,23,48,=J2+K2+L2+M2+N2,=O2+P2,=((Q2/(R2+R1)))*100,,0,,"[]"
2011-12-10,2,e7cdaa0029ad7f55f227fcb61ded6e3524f3460a,4776834185a653f5d1f5454de76017de9b2e9b32,"[]","[]","[]","[]","[]",0,0,0,0,0,23,48,=J3+K3+L3+M3+N3,=O3+P3,=((Q3/(R3+R2)))*100,,1,TAJO-264,"[]"
2011-12-10,3,6575e9eec06ae5fa3530cc1efe907a435f7703ed,e7cdaa0029ad7f55f227fcb61ded6e3524f3460a,"[]","[]","[]","[]","[]",0,0,0,0,0,23,48,=J4+K4+L4+M4+N4,=O4+P4,=((Q4/(R4+R3)))*100,,0,,"[]"
2011-12-10,4,76889e8d556c73eaf0e2246614ef2330c1ba07c7,6575e9eec06ae5fa3530cc1efe907a435f7703ed,"[]","[]","[]","[]","[]",0,0,0,0,0,23,48,=J5+K5+L5+M5+N5,=O5+P5,=((Q5/(R5+R4)))*100,,0,,"[]"
2011-12-10,5,91e1429094160755162cde11dd11ff1b0db37770,76889e8d556c73eaf0e2246614ef2330c1ba07c7,"[]","[]","[]","[]","[]",0,0,0,0,0,23,48,=J6+K6+L6+M6+N6,=O6+P6,=((Q6/(R6+R5)))*100,,0,,"[]"
2011-12-10,6,8d5431185d5748e7542b5d53f6abcc69822db651,91e1429094160755162cde11dd11ff1b0db37770,"[]","[]","[]","[]","[]",0,0,0,0,0,23,48,=J7+K7+L7+M7+N7,=O7+P7,=((Q7/(R7+R6)))*100,,0,,"[2]"
2011-12-13,7,bbc8b2fa2955566c4563c8897802554cabd53c34,8d5431185d5748e7542b5d53f6abcc69822db651,"[]","[]","[]","[]","[]",0,0,0,0,0,23,48,=J8+K8+L8+M8+N8,=O8+P8,=((Q8/(R8+R7)))*100,,0,TAJO-262,"[]"
2011-12-13,8,207d1fd18214cc748767385c2a66b19af4764fc8,bbc8b2fa2955566c4563c8897802554cabd53c34,"[]","[]","[]","[]","[]",0,0,0,0,0,23,48,=J9+K9+L9+M9+N9,=O9+P9,=((Q9/(R9+R8)))*100,,0,,"[]"
2011-12-14,9,6df31888fb2ac052b6884e4e649e83081735586c,207d1fd18214cc748767385c2a66b19af4764fc8,"[]","[]","[]","[]","[]",0,0,0,0,0,23,48,=J10+K10+L10+M10+N10,=O10+P10,=((Q10/(R10+R9)))*100,,0,,"[3]"
2011-12-14,10,6e320103ccfcef08c5c2db74db7af31151238913,6df31888fb2ac052b6884e4e649e83081735586c,"[nta.engine.ipc]","[]","[{name:nta.engine.utils,added:[nta.engine]},{name:nta.engine,added:[nta.engine.utils,nta.engine.ipc]}]","[]","[]",1,0,3,0,0,24,51,=J11+K11+L11+M11+N11,=O11+P11,=((Q11/(R11+R10)))*100,,0,TAJO-269,"[]"
2011-12-15,11,3bca2932cd80c448973967025692465681d69a0f,6e320103ccfcef08c5c2db74db7af31151238913,"[]","[]","[]","[]","[]",0,0,0,0,0,24,51,=J12+K12+L12+M12+N12,=O12+P12,=((Q12/(R12+R11)))*100,,0,,"[4]"
2011-12-15,12,222ba2077fa6cc6c833daffe5b3bff4087b85d43,3bca2932cd80c448973967025692465681d69a0f,"[nta.storage.exception]","[nta.engine.ipc]","[{name:nta.storage,added:[nta.storage.exception]}]","[{name:nta.engine.utils,removed:[nta.engine]},{name:nta.engine,removed:[nta.engine.utils,nta.engine.ipc]}]","[]",1,1,1,3,0,24,49,=J13+K13+L13+M13+N13,=O13+P13,=((Q13/(R13+R12)))*100,,0,TAJO-265,"[]"
2011-12-15,13,95d80b93b714a91ce3cb30694fe93e0cd758550d,222ba2077fa6cc6c833daffe5b3bff4087b85d43,"[]","[]","[]","[]","[]",0,0,0,0,0,24,49,=J14+K14+L14+M14+N14,=O14+P14,=((Q14/(R14+R13)))*100,,0,TAJO-271,"[]"
2011-12-15,14,b7ecc79e6b33afff794d7c556943aa815ad4c481,95d80b93b714a91ce3cb30694fe93e0cd758550d,"[]","[]","[]","[]","[]",0,0,0,0,0,24,49,=J15+K15+L15+M15+N15,=O15+P15,=((Q15/(R15+R14)))*100,,0,,"[]"
2011-12-15,15,38f20434bfbd54b6981126b78d143b97750e3d53,b7ecc79e6b33afff794d7c556943aa815ad4c481,"[nta.engine.ipc]","[]","[{name:nta.engine.utils,added:[nta.engine]},{name:nta.engine,added:[nta.engine.utils,nta.engine.ipc]}]","[]","[]",1,0,3,0,0,25,52,=J16+K16+L16+M16+N16,=O16+P16,=((Q16/(R16+R15)))*100,,0,,"[6]"
2011-12-15,16,1e7f96a60c9707826b6c77ae4c92515f7b494b45,38f20434bfbd54b6981126b78d143b97750e3d53,"[]","[]","[{name:nta.engine.ipc,added:[nta.engine]}]","[]","[]",0,0,1,0,0,25,53,=J17+K17+L17+M17+N17,=O17+P17,=((Q17/(R17+R16)))*100,,0,TAJO-273,"[]"
2011-12-16,17,27070b0be07f6ad463f6d08c532bf4dce082a553,1e7f96a60c9707826b6c77ae4c92515f7b494b45,"[]","[]","[]","[]","[]",0,0,0,0,0,25,53,=J18+K18+L18+M18+N18,=O18+P18,=((Q18/(R18+R17)))*100,,0,,"[8]"
