date,row,commit,comparedTo,packages added,packages removed,dependency added,dependency removed,class moved,number of packages added,number of packages removed,number of dependencies added,number of dependencies removed,number of moved classes,number of packages,number of dependencies,MTO,A0,A2A,A2A Copy,gap,issueId,prNumber
2007-11-03,1,047d9258a4730791b85cc81b0e1435465a32acbf,,"[com.yahoo.zookeeper.server.quorum,com.yahoo.zookeeper,com.yahoo.zookeeper.server,com.yahoo.zookeeper.server.auth]","[]","[]","[]","[]",4,0,0,0,0,4,4,=J2+K2+L2+M2+N2,=O2+P2,=((Q2/(R2+R1)))*100,,0,,"[]"
2007-11-03,2,e048893ec04a250fcb50853d6b47594fa81b0ea2,047d9258a4730791b85cc81b0e1435465a32acbf,"[]","[]","[]","[]","[]",0,0,0,0,0,4,4,=J3+K3+L3+M3+N3,=O3+P3,=((Q3/(R3+R2)))*100,,0,,"[]"
2007-11-06,3,bbc3fdc9973cf02256539a794b617c9b0da5b81f,e048893ec04a250fcb50853d6b47594fa81b0ea2,"[]","[]","[]","[]","[]",0,0,0,0,0,4,4,=J4+K4+L4+M4+N4,=O4+P4,=((Q4/(R4+R3)))*100,,0,,"[]"
2007-11-08,4,3eed1f68e7fcf50b54e67afff46c205c7762da7e,bbc3fdc9973cf02256539a794b617c9b0da5b81f,"[]","[]","[]","[]","[]",0,0,0,0,0,4,4,=J5+K5+L5+M5+N5,=O5+P5,=((Q5/(R5+R4)))*100,,0,,"[]"
2007-11-08,5,03b424d305d37caffb28dcb35122380c83d953d3,3eed1f68e7fcf50b54e67afff46c205c7762da7e,"[]","[]","[]","[]","[]",0,0,0,0,0,4,4,=J6+K6+L6+M6+N6,=O6+P6,=((Q6/(R6+R5)))*100,,0,,"[]"
2007-11-09,6,2cc64f54fdf857437ac7325639afdb67bbfb0388,03b424d305d37caffb28dcb35122380c83d953d3,"[]","[]","[]","[]","[]",0,0,0,0,0,4,4,=J7+K7+L7+M7+N7,=O7+P7,=((Q7/(R7+R6)))*100,,0,,"[]"
2007-11-09,7,11d2d6fd92acf9abc762c41e0f7b91c5acc89f4f,2cc64f54fdf857437ac7325639afdb67bbfb0388,"[]","[]","[]","[]","[]",0,0,0,0,0,4,4,=J8+K8+L8+M8+N8,=O8+P8,=((Q8/(R8+R7)))*100,,0,,"[]"
2007-11-09,8,1d2cb51508281a281bc47d6bf93fbf264cc20540,11d2d6fd92acf9abc762c41e0f7b91c5acc89f4f,"[]","[]","[]","[]","[]",0,0,0,0,0,4,4,=J9+K9+L9+M9+N9,=O9+P9,=((Q9/(R9+R8)))*100,,0,,"[]"
2007-11-09,9,fce72e5323cccbacd9f1a0dadc7dbd58a2899771,1d2cb51508281a281bc47d6bf93fbf264cc20540,"[]","[]","[]","[]","[]",0,0,0,0,0,4,4,=J10+K10+L10+M10+N10,=O10+P10,=((Q10/(R10+R9)))*100,,0,,"[]"
2007-11-09,10,a1c481ceca909e32ec49ff9738b5355eb1c367a7,fce72e5323cccbacd9f1a0dadc7dbd58a2899771,"[]","[]","[]","[]","[]",0,0,0,0,0,4,4,=J11+K11+L11+M11+N11,=O11+P11,=((Q11/(R11+R10)))*100,,0,,"[]"
2007-11-12,11,18a282789c4723e3c2a41960174ea55594e43d7a,a1c481ceca909e32ec49ff9738b5355eb1c367a7,"[]","[]","[]","[]","[]",0,0,0,0,0,4,4,=J12+K12+L12+M12+N12,=O12+P12,=((Q12/(R12+R11)))*100,,0,,"[]"
2007-11-12,12,7563bfe9f8caa1a3acdedb32db9e7af7aa3c76ae,18a282789c4723e3c2a41960174ea55594e43d7a,"[]","[]","[]","[]","[]",0,0,0,0,0,4,4,=J13+K13+L13+M13+N13,=O13+P13,=((Q13/(R13+R12)))*100,,0,,"[]"
2007-11-12,13,925c425a73910bab9e40bc044329136379adadaa,7563bfe9f8caa1a3acdedb32db9e7af7aa3c76ae,"[]","[]","[]","[]","[]",0,0,0,0,0,4,4,=J14+K14+L14+M14+N14,=O14+P14,=((Q14/(R14+R13)))*100,,0,,"[]"
2007-11-19,14,7beb7dad9505746944744c20dbabca0b46d76585,925c425a73910bab9e40bc044329136379adadaa,"[]","[]","[]","[]","[]",0,0,0,0,0,4,4,=J15+K15+L15+M15+N15,=O15+P15,=((Q15/(R15+R14)))*100,,1,,"[]"
2007-11-21,15,87be48dc97ad6e6a0e49d6b665df56d4f86b6808,7beb7dad9505746944744c20dbabca0b46d76585,"[]","[]","[]","[]","[]",0,0,0,0,0,4,4,=J16+K16+L16+M16+N16,=O16+P16,=((Q16/(R16+R15)))*100,,0,,"[]"
2007-11-21,16,ca3993e5b10ed20ddfe04d0c57c2fb149223804b,87be48dc97ad6e6a0e49d6b665df56d4f86b6808,"[]","[]","[]","[]","[]",0,0,0,0,0,4,4,=J17+K17+L17+M17+N17,=O17+P17,=((Q17/(R17+R16)))*100,,0,,"[]"
2007-11-21,17,667c6c4bb85800feb0f31037ee3eb9a36043f79a,ca3993e5b10ed20ddfe04d0c57c2fb149223804b,"[]","[]","[]","[]","[]",0,0,0,0,0,4,4,=J18+K18+L18+M18+N18,=O18+P18,=((Q18/(R18+R17)))*100,,0,,"[]"
2007-11-21,18,b07de9a00b2e2bdb0f839c467181657fdee942af,667c6c4bb85800feb0f31037ee3eb9a36043f79a,"[]","[]","[]","[]","[]",0,0,0,0,0,4,4,=J19+K19+L19+M19+N19,=O19+P19,=((Q19/(R19+R18)))*100,,0,,"[]"
2007-11-21,19,9cb5cf3a21c6185727044e9d5ba52feba0da0973,b07de9a00b2e2bdb0f839c467181657fdee942af,"[]","[]","[]","[]","[]",0,0,0,0,0,4,4,=J20+K20+L20+M20+N20,=O20+P20,=((Q20/(R20+R19)))*100,,0,,"[]"
2007-11-21,20,c67fef7ea93c505bdf94096fb852da87f4fb2c50,9cb5cf3a21c6185727044e9d5ba52feba0da0973,"[]","[]","[]","[]","[]",0,0,0,0,0,4,4,=J21+K21+L21+M21+N21,=O21+P21,=((Q21/(R21+R20)))*100,,0,,"[]"
2007-11-22,21,9201659e2882da8eda910cd3449e14fd9d7d31bd,c67fef7ea93c505bdf94096fb852da87f4fb2c50,"[]","[]","[]","[]","[]",0,0,0,0,0,4,4,=J22+K22+L22+M22+N22,=O22+P22,=((Q22/(R22+R21)))*100,,0,,"[]"
2007-11-28,22,992946b900b3b4cbaf1cf9a77555b57413d64b76,9201659e2882da8eda910cd3449e14fd9d7d31bd,"[]","[]","[]","[]","[]",0,0,0,0,0,4,4,=J23+K23+L23+M23+N23,=O23+P23,=((Q23/(R23+R22)))*100,,0,,"[]"
2007-11-28,23,771116b87df2b83f6923a997d064f006422a3adb,992946b900b3b4cbaf1cf9a77555b57413d64b76,"[]","[]","[]","[]","[]",0,0,0,0,0,4,4,=J24+K24+L24+M24+N24,=O24+P24,=((Q24/(R24+R23)))*100,,0,,"[]"
2007-11-28,24,e6a03538f9b7b88d5e0523882c26de0a05b0f801,771116b87df2b83f6923a997d064f006422a3adb,"[]","[]","[]","[]","[]",0,0,0,0,0,4,4,=J25+K25+L25+M25+N25,=O25+P25,=((Q25/(R25+R24)))*100,,0,,"[]"
2007-11-28,25,6c1b271c933c53a882e84cd9317f2dbf5d78bdfa,e6a03538f9b7b88d5e0523882c26de0a05b0f801,"[]","[]","[]","[]","[]",0,0,0,0,0,4,4,=J26+K26+L26+M26+N26,=O26+P26,=((Q26/(R26+R25)))*100,,0,,"[]"
2007-11-28,26,2d61e7ebf2a75e227a140644357a073fe758ddbf,6c1b271c933c53a882e84cd9317f2dbf5d78bdfa,"[]","[]","[]","[]","[]",0,0,0,0,0,4,4,=J27+K27+L27+M27+N27,=O27+P27,=((Q27/(R27+R26)))*100,,0,,"[]"
2007-11-28,27,efa6ab6e89270f43355066c2bfd9343a02cb5a27,2d61e7ebf2a75e227a140644357a073fe758ddbf,"[]","[]","[]","[]","[]",0,0,0,0,0,4,4,=J28+K28+L28+M28+N28,=O28+P28,=((Q28/(R28+R27)))*100,,0,,"[]"
2007-11-28,28,1061ac279cd4785951219c1c1631c4156de913fc,efa6ab6e89270f43355066c2bfd9343a02cb5a27,"[]","[]","[]","[]","[]",0,0,0,0,0,4,4,=J29+K29+L29+M29+N29,=O29+P29,=((Q29/(R29+R28)))*100,,0,,"[]"
2007-11-28,29,21d54c374dc24a4128d468a2bdecd30eb94bf4be,1061ac279cd4785951219c1c1631c4156de913fc,"[]","[]","[]","[]","[]",0,0,0,0,0,4,4,=J30+K30+L30+M30+N30,=O30+P30,=((Q30/(R30+R29)))*100,,0,,"[]"
2007-11-28,30,df25a810ee7ff41509965102e1475fc353ecb012,21d54c374dc24a4128d468a2bdecd30eb94bf4be,"[]","[]","[]","[]","[]",0,0,0,0,0,4,4,=J31+K31+L31+M31+N31,=O31+P31,=((Q31/(R31+R30)))*100,,0,,"[]"
2007-11-28,31,3347bf0ddf0598c16f954470d786b2101f64a472,df25a810ee7ff41509965102e1475fc353ecb012,"[]","[]","[]","[]","[]",0,0,0,0,0,4,4,=J32+K32+L32+M32+N32,=O32+P32,=((Q32/(R32+R31)))*100,,0,,"[]"
2007-11-28,32,b0df85d1f1e26bfaced8a003a6b09bede5867a9f,3347bf0ddf0598c16f954470d786b2101f64a472,"[]","[]","[]","[]","[]",0,0,0,0,0,4,4,=J33+K33+L33+M33+N33,=O33+P33,=((Q33/(R33+R32)))*100,,0,,"[]"
